,n_rejected,workertimes,unp_rank,generations,param_norm,grad_norm,n_reused,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
20,0,2.9669711589813232,1,20,16.423952,5.669363,0,79.27209782600403,-1.8207783699035645,-1.8208976984024048,0.05,-5.9914646,0.05,-1.9706323146820068,-1.6881803274154663,-1.8206881284713745,0.004103126935660839,-182.06881713867188,-1.5919858,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
21,0,3.2644665241241455,1,21,16.620583,5.5996375,0,83.13858103752136,-1.7574506998062134,-1.757442593574524,0.05,-5.9914646,0.05,-1.874999761581421,-1.5813066959381104,-1.7574167251586914,0.0038348573725670576,-175.74166870117188,-1.533198,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
22,0,2.985036849975586,1,22,16.818718,5.677968,0,86.72344994544983,-1.718177080154419,-1.7182331085205078,0.05,-5.9914646,0.05,-1.8919336795806885,-1.5586466789245605,-1.718140721321106,0.004094571806490421,-171.81407165527344,-1.5013078,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
23,0,3.127563714981079,1,23,17.019857,5.675423,0,90.45588946342468,-1.6842944622039795,-1.6842862367630005,0.05,-5.9914646,0.05,-1.804822564125061,-1.5393071174621582,-1.6843652725219727,0.0030226511880755424,-168.4365234375,-1.457727,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
24,0,2.990755319595337,1,24,17.22133,5.6990576,0,94.05110692977905,-1.6473362445831299,-1.6473751068115234,0.05,-5.9914646,0.05,-1.823317050933838,-1.4993985891342163,-1.6473060846328735,0.0039787921123206615,-164.73060607910156,-1.4087098,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
25,0,5.629516839981079,1,25,17.425123,5.6785545,0,100.30639100074768,-1.5983152389526367,-1.5982933044433594,0.05,-5.9914646,0.05,-1.765488862991333,-1.4670966863632202,-1.598262906074524,0.003899115137755871,-159.8262939453125,-1.3611268,-1.3753141,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
26,0,3.2111310958862305,1,26,17.629375,5.7168846,0,104.11031675338745,-1.5655126571655273,-1.5654404163360596,0.05,-5.9914646,0.05,-1.7272958755493164,-1.4524211883544922,-1.5654821395874023,0.003479993436485529,-156.5482177734375,-1.4068905,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
27,0,2.996840715408325,2,27,17.833862,5.4630523,0,107.65014719963074,-1.525168776512146,-1.5251022577285767,0.05,-5.9914646,0.05,-1.6795053482055664,-1.3349255323410034,-1.5251741409301758,0.003042874624952674,-152.5174102783203,-1.3520409,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
28,0,3.16353702545166,1,28,18.034458,5.451751,0,111.35691356658936,-1.492930293083191,-1.4929481744766235,0.05,-5.9914646,0.05,-1.6063060760498047,-1.3627266883850098,-1.4928560256958008,0.002136400667950511,-149.2855987548828,-1.2925208,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
29,0,3.156532049179077,1,29,18.237587,5.7208133,0,115.11245107650757,-1.4590625762939453,-1.4590438604354858,0.05,-5.9914646,0.05,-1.5858641862869263,-1.3296152353286743,-1.4590873718261719,0.0024567132350057364,-145.9087371826172,-1.2518051,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
