,n_rejected,unp_rank,walltimes,workertimes,n_reused,generations,grad_norm,param_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
47,0,15,1621.8024773597717,29.90501093864441,0,47,2.1316051,110.24327,0.0,0.0,0.050371204,-5.968491,1.0,1.0,0.0,220.0,157.8,743.16,15780.0,160.0,,793,1000,982.27,649.3970999999998,98227,982,
48,0,10,1656.464611530304,29.49849224090576,0,48,2.132064,111.26169,0.0,0.0,0.050383564,-5.968491,1.0,1.0,0.0,240.0,144.4,1892.6399999999996,14440.0,160.0,,554,1000,967.66,5441.7444,96766,988,
49,0,11,1690.8322331905365,29.097975254058838,0,49,2.1295507,112.25305,0.0,0.0,0.050371516,-5.968491,1.0,1.0,0.0,200.0,145.6,1632.6399999999994,14560.0,160.0,,566,1000,969.46,4514.9484,96946,982,
50,0,12,1724.8608145713806,28.867435455322266,0,50,2.132681,113.21741,0.0,0.0,0.050400153,-5.968491,1.0,1.0,0.0,240.0,148.2,1528.7599999999993,14820.0,160.0,,758,1000,973.85,2877.7475,97385,986,
51,0,12,1758.7340841293335,28.72528839111328,0,51,2.131308,114.15424,0.0,0.0,0.050441004,-5.968491,1.0,1.0,0.0,220.0,148.2,1640.76,14820.0,160.0,,747,1000,974.83,2138.4210999999996,97483,984,
52,0,14,1792.7519090175629,28.77861261367798,0,52,2.1322737,115.06749,0.0,0.0,0.050484892,-5.968491,1.0,1.0,0.0,220.0,145.6,1760.6399999999994,14560.0,160.0,,584,1000,966.72,5940.181599999999,96672,1000,
53,0,18,1826.777562379837,28.7253155708313,0,53,2.128999,115.95607,0.0,0.0,0.050517607,-5.968491,1.0,1.0,0.0,260.0,143.6,2563.0399999999995,14360.0,160.0,,517,1000,966.1,6370.91,96610,991,
54,0,10,1861.0895533561707,29.167166233062744,0,54,2.1300864,116.81919,0.0,0.0,0.050550535,-5.968491,1.0,1.0,0.0,240.0,147.6,1502.24,14760.0,160.0,,658,1000,977.46,2633.828400000001,97746,982,
55,0,11,1895.8987431526184,29.19264316558838,0,55,2.130639,117.657425,0.0,0.0,0.050577648,-5.9533706,1.0,1.0,0.0,220.0,140.4,2343.84,14040.0,160.0,,573,1000,965.36,5125.250399999999,96536,982,
56,0,21,1929.615273475647,28.516045331954956,0,56,2.132371,118.47229,0.0,0.0,0.050618373,-5.9533706,1.0,1.0,0.0,240.0,141.4,2578.0399999999995,14140.0,160.0,,470,1000,952.25,8146.0475,95225,971,
57,0,17,1963.2903847694397,28.488324880599976,0,57,2.1345737,119.262276,0.0,0.0,0.050662056,-5.9533706,1.0,1.0,0.0,220.0,144.0,1800.0,14400.0,160.0,,654,1000,957.47,5506.009100000001,95747,990,
58,0,15,1996.9564080238342,28.44347643852234,0,58,2.1332846,120.02989,0.0,0.0,0.050684746,-5.9533706,1.0,1.0,0.0,220.0,136.4,2323.0399999999995,13640.0,160.0,,583,1000,957.5,7317.53,95750,996,
59,0,2,2031.4801213741302,29.32194948196411,0,59,2.1316283,120.77555,0.0,0.0,0.050723877,-5.9533706,1.0,1.0,0.0,240.0,142.8,2720.160000000001,14280.0,220.0,,719,1000,970.2,3820.719999999999,97020,1000,
60,0,6,2064.5270891189575,27.651253938674927,0,60,2.1309884,121.501625,0.0,0.0,0.05073267,-5.9533706,1.0,1.0,0.0,260.0,137.4,2861.24,13740.0,180.0,,570,1000,963.79,6088.625900000001,96379,1000,
61,0,65,2098.951850414276,29.032679319381714,0,61,2.1317925,122.20748,0.0,0.0,0.0507486,-5.9533706,1.0,1.0,0.0,240.0,143.0,1739.0,14300.0,140.0,,654,1000,970.32,3484.2176,97032,1000,
62,0,71,2132.870411634445,28.71554446220398,0,62,2.1313722,122.89199,0.0,0.0,0.050766524,-5.9533706,1.0,1.0,0.0,220.0,137.2,2336.16,13720.0,120.0,,568,1000,969.36,6653.750400000001,96936,1000,
63,0,76,2166.078800678253,28.010205507278442,0,63,2.1319828,123.55808,0.0,0.0,0.05077634,-5.9533706,1.0,1.0,0.0,240.0,141.6,1837.44,14160.0,100.0,,529,1000,960.26,6828.032400000001,96026,986,
64,0,78,2198.7926547527313,27.558282375335693,0,64,2.1319497,124.206665,0.0,0.0,0.050799396,-5.9533706,1.0,1.0,0.0,240.0,144.6,1758.84,14460.0,100.0,,639,1000,959.05,5447.5675,95905,880,
65,0,64,2232.2115490436554,28.284735441207886,0,65,2.12981,124.84072,0.0,0.0,0.050798863,-5.9533706,1.0,1.0,0.0,240.0,136.4,2459.0399999999995,13640.0,120.0,,593,1000,959.61,6916.7379,95961,1000,
66,0,56,2265.4035580158234,28.008549213409424,0,66,2.1322317,125.45977,0.0,0.0,0.05078105,-5.9533706,1.0,1.0,0.0,260.0,140.0,2032.0,14000.0,140.0,,619,1000,963.3,6730.910000000001,96330,1000,
67,0,1,2300.2264189720154,29.607705116271973,0,67,2.1324859,126.0613,0.0,0.0,0.05079311,-5.9533706,1.0,1.0,0.0,220.0,141.2,2526.56,14120.0,240.0,,653,1000,970.58,5084.7636,97058,1000,
68,0,4,2334.6759157180786,29.146369457244873,0,68,2.132497,126.64953,0.0,0.0,0.050818127,-5.9533706,1.0,1.0,0.0,260.0,141.4,2026.0399999999995,14140.0,220.0,,574,1000,965.97,6363.1491000000005,96597,1000,
69,0,1,2368.3689291477203,28.50155806541443,0,69,2.1321313,127.22294,0.0,0.0,0.050848205,-5.9533706,1.0,1.0,0.0,260.0,144.6,2590.84,14460.0,260.0,,645,1000,964.67,6054.221099999999,96467,1000,
70,0,6,2402.064100265503,28.42218041419983,0,70,2.1312463,127.78075,0.0,0.0,0.050890632,-5.9533706,1.0,1.0,0.0,240.0,143.4,1872.44,14340.0,180.0,,676,1000,973.13,4005.793100000001,97313,1000,
71,0,13,2435.9431869983673,28.669427633285522,0,71,2.130966,128.32205,0.0,0.0,0.050934244,-5.9533706,1.0,1.0,20.0,240.0,150.4,1531.84,15040.0,180.0,,646,1000,966.89,4743.5779,96689,1000,
72,0,5,2470.8724830150604,29.52791690826416,0,72,2.1291282,128.84666,0.0,0.0,0.050948333,-5.9533706,1.0,1.0,0.0,240.0,157.4,1365.24,15740.0,200.0,,739,1000,984.71,2021.6058999999993,98471,1000,
73,0,12,2504.6210236549377,28.295096158981323,0,73,2.1312528,129.35876,0.0,0.0,0.050961476,-5.988571,1.0,1.0,0.0,240.0,147.6,2182.2400000000002,14760.0,180.0,,624,1000,966.57,6153.1051,96657,1000,
74,0,20,2538.329998254776,28.546780347824097,0,74,2.1325076,129.85727,0.0,0.0,0.050958488,-5.988571,1.0,1.0,0.0,240.0,142.0,2316.0,14200.0,160.0,,528,1000,959.8,9240.840000000002,95980,1000,
75,0,22,2571.876681804657,28.373952865600586,0,75,2.1299582,130.34108,0.0,0.0,0.050941665,-5.988571,1.0,1.0,0.0,220.0,143.8,2037.56,14380.0,160.0,,672,1000,961.94,6480.916399999999,96194,1000,
76,0,21,2606.2547557353973,29.19417929649353,0,76,2.1317573,130.81046,0.0,0.0,0.0509383,-5.988571,1.0,1.0,0.0,240.0,150.2,1307.9599999999998,15020.0,160.0,,687,1000,973.79,4364.5259,97379,1000,
77,0,4,2639.9270198345184,28.47305917739868,0,77,2.132236,131.26714,0.0,0.0,0.050908446,-5.988571,1.0,1.0,0.0,240.0,147.2,1868.16,14720.0,220.0,,603,1000,967.65,6739.3274999999985,96765,1000,
