,n_rejected,unp_rank,generations,workertimes,param_norm,walltimes,grad_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
64,0,4,64,29.887433528900146,178.43239,2315.7219727039337,49.899387,0,154.40432739257812,0.0,0.05,-5.9914646,0.05,80.0,260.0,154.4,1664.6399999999994,15440.0,220.0,,638,1000,976.67,4308.561099999999,97667,1000,
65,0,13,65,29.37168526649475,180.08223,2352.2168514728546,49.86728,0,148.39334106445312,0.0,0.05,-5.9914646,0.05,40.0,240.0,148.4,1705.4400000000003,14840.0,180.0,,720,1000,978.83,3680.0811,97883,1000,
66,0,3,66,29.3030526638031,181.71288,2388.732376098633,49.871807,0,150.59779357910156,0.0,0.05,-5.9914646,0.05,60.0,240.0,150.6,1331.6399999999996,15060.0,220.0,,599,1000,983.22,3517.7915999999987,98322,1000,
67,0,30,67,30.231332778930664,183.3254,2426.100834131241,49.906036,0,155.5970458984375,0.0,0.05,-5.9914646,0.05,20.0,260.0,155.6,1644.6399999999994,15560.0,160.0,,737,1000,992.0,1119.98,99200,1000,
68,0,4,68,28.855224609375,184.92262,2462.28914642334,49.86846,0,154.40245056152344,0.0,0.05,-5.9914646,0.05,0.0,240.0,154.4,1552.6399999999994,15440.0,220.0,,739,1000,977.25,3425.8475,97725,1000,
69,0,1,69,29.275424242019653,186.50128,2499.3379645347595,42.637394,0,161.0018768310547,0.0,0.05,-5.9914646,0.05,60.0,240.0,161.0,1419.0,16100.0,280.0,,770,1000,989.15,1512.6275,98915,1000,
70,0,8,70,29.248855352401733,188.05692,2535.7441313266754,49.85553,0,157.2030487060547,0.0,0.05,-5.9914646,0.05,60.0,260.0,157.2,1616.16,15720.0,200.0,,697,1000,988.57,2202.0850999999993,98857,1000,
71,0,10,71,30.06272554397583,189.59956,2573.0645389556885,49.922295,0,156.20880126953125,0.0,0.05,-5.9914646,0.05,0.0,260.0,156.2,1981.5600000000004,15620.0,200.0,,841,1000,996.23,470.2570999999999,99623,1000,
72,0,2,72,30.026434659957886,191.12437,2610.3061134815216,49.847458,0,154.005126953125,0.0,0.05,-5.9914646,0.05,100.0,260.0,154.0,1252.0,15400.0,240.0,,794,1000,992.02,864.7195999999999,99202,1000,
73,0,2,73,29.782676458358765,192.62822,2647.2322750091553,42.905933,0,161.40171813964844,0.0,0.05,-5.9914646,0.05,0.0,260.0,161.4,1394.0399999999995,16140.0,220.0,,783,1000,992.28,1172.1816000000003,99228,1000,
74,0,1,74,29.87621283531189,194.1134,2684.1430094242096,49.897594,0,157.00595092773438,0.0,0.05,-5.9914646,0.05,0.0,240.0,157.0,1907.0,15700.0,240.0,,739,1000,994.69,960.6339000000003,99469,1000,
75,0,3,75,29.200557947158813,195.58029,2720.4909477233887,49.90946,0,155.2021942138672,0.0,0.05,-5.9914646,0.05,0.0,260.0,155.2,2104.9600000000005,15520.0,240.0,,681,1000,989.85,1691.3875,98985,1000,
76,0,4,76,28.997052431106567,197.0301,2756.660228729248,43.417595,0,164.9900665283203,0.0,0.05,-5.9914646,0.05,0.0,260.0,165.0,1907.0,16500.0,240.0,,741,1000,990.78,1383.9715999999992,99078,1000,
