,generations,unp_rank,n_rejected,workertimes,walltimes,grad_norm,param_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
72,72,64,0,29.6139817237854,2767.0498621463776,2.4981928,150.75891,0,140.00047302246094,140.0001678466797,0.04720684,-6.111078,1.0,1.0,0.0,240.0,140.0,2880.0,14000.0,140.0,,721,1000,977.69,2789.1538999999993,97769,1000,
73,73,54,0,29.42115020751953,2806.041380405426,2.4968514,151.3748,0,130.79827880859375,130.79965209960938,0.047168445,-6.111078,1.0,1.0,0.0,260.0,130.8,3851.36,13080.0,140.0,,647,1000,977.85,3618.1674999999996,97785,1000,
74,74,70,0,29.0781409740448,2844.5148854255676,2.4985957,151.97636,0,131.99684143066406,131.99624633789062,0.04714089,-6.111078,1.0,1.0,0.0,260.0,132.0,2888.0,13200.0,100.0,,740,1000,984.16,1940.4344000000003,98416,993,
75,75,58,0,29.58344078063965,2883.4393694400787,2.472686,152.56367,0,122.18545532226562,122.17058563232422,0.047105566,-6.111078,1.0,1.0,0.0,240.0,122.2,4135.16,12220.0,100.0,,657,1000,980.75,2587.7275,98075,993,
76,76,63,0,28.957252740859985,2921.7422621250153,2.4999006,153.13152,0,135.80181884765625,135.80630493164062,0.04707962,-6.111078,1.0,1.0,0.0,220.0,135.8,2154.36,13580.0,120.0,,740,1000,979.97,2730.4091,97997,1000,
77,77,13,0,29.102200746536255,2960.205645084381,2.49892,153.68411,0,125.00755310058594,125.01730346679688,0.04704212,-6.111078,1.0,1.0,0.0,220.0,125.0,3595.0,12500.0,180.0,,620,1000,971.04,6599.638400000001,97104,1000,
78,78,3,0,28.885358095169067,2998.470144033432,2.4996498,154.22456,0,136.398681640625,136.3976593017578,0.04705135,-6.111078,1.0,1.0,0.0,240.0,136.4,4003.0400000000013,13640.0,220.0,,445,1000,977.15,6808.607500000001,97715,1000,
79,79,24,0,28.39695644378662,3036.2249040603638,2.49888,154.74942,0,132.99603271484375,132.98883056640625,0.047085576,-6.111078,1.0,1.0,0.0,260.0,133.0,4107.0,13300.0,160.0,,528,1000,969.14,7366.6804,96914,1000,
80,80,16,0,29.73822283744812,3075.3716127872467,2.4989815,155.25967,0,137.99264526367188,137.98985290527344,0.04708029,-6.111078,1.0,1.0,0.0,260.0,138.0,3732.0,13800.0,180.0,,591,1000,979.54,3580.1084,97954,1000,
81,81,29,0,29.240729093551636,3114.2717909812927,2.5005782,155.76033,0,147.99732971191406,147.9931640625,0.047097333,-6.150364,1.0,1.0,0.0,240.0,148.0,2712.0,14800.0,160.0,,570,1000,981.84,3468.3344,98184,1000,
82,82,20,0,28.939077854156494,3152.652542591095,2.4999466,156.24734,0,131.99148559570312,131.98167419433594,0.04711728,-6.150364,1.0,1.0,0.0,240.0,132.0,4456.0,13200.0,160.0,,543,1000,983.31,3949.8739000000005,98331,1000,
83,83,21,0,28.147483587265015,3190.259043455124,2.4963224,156.72444,0,141.59327697753906,141.5832977294922,0.047127448,-6.150364,1.0,1.0,0.0,260.0,141.6,2861.44,14160.0,160.0,,521,1000,971.46,6123.028399999999,97146,1000,
84,84,23,0,29.695740938186646,3229.3062262535095,2.4984438,157.19524,0,147.18807983398438,147.1752471923828,0.04709081,-6.150364,1.0,1.0,0.0,240.0,147.2,2684.1600000000008,14720.0,160.0,,506,1000,977.02,5685.499599999999,97702,1000,
85,85,28,0,29.277941465377808,3267.9169182777405,2.499065,157.65479,0,152.40867614746094,152.41653442382812,0.04704636,-6.150364,1.0,1.0,0.0,240.0,152.4,2798.24,15240.0,160.0,,590,1000,987.34,2921.5643999999993,98734,1000,
86,86,24,0,29.424331188201904,3306.694896697998,2.5003414,158.10188,0,146.21205139160156,146.22146606445312,0.04698484,-6.150364,1.0,1.0,0.0,280.0,146.2,3501.56,14620.0,160.0,,819,1000,989.04,1340.7984000000004,98904,1000,
87,87,23,0,28.79030179977417,3345.018077850342,2.4973934,158.53844,0,144.19863891601562,144.20252990722656,0.046942126,-6.150364,1.0,1.0,0.0,240.0,144.2,3770.36,14420.0,160.0,,468,1000,983.34,4612.164400000003,98334,1000,
88,88,30,0,29.183849573135376,3383.5441060066223,2.4978714,158.96918,0,153.5933380126953,153.58973693847656,0.046901472,-6.150364,1.0,1.0,0.0,240.0,153.6,2599.039999999999,15360.0,160.0,,527,1000,980.92,4478.333599999999,98092,1000,
89,89,34,0,27.67168164253235,3420.6600399017334,2.5005624,159.38681,0,133.98338317871094,133.96986389160156,0.046862856,-6.150364,1.0,1.0,0.0,240.0,134.0,4516.0,13400.0,160.0,,453,1000,963.2,11220.26,96320,1000,
90,90,40,0,29.14117670059204,3459.137000799179,2.4990351,159.7931,0,148.00099182128906,148.00436401367188,0.046797294,-6.150364,1.0,1.0,0.0,260.0,148.0,3968.0,14800.0,160.0,,611,1000,980.22,4238.711599999999,98022,1000,
91,91,21,0,28.881751537322998,3497.352204799652,2.4993367,160.18793,0,127.80157470703125,127.8013916015625,0.04672791,-6.150364,1.0,1.0,0.0,260.0,127.8,5735.159999999998,12780.0,180.0,,586,1000,974.2,5900.64,97420,1000,
92,92,4,0,28.70534873008728,3535.5107712745667,2.4977977,160.57549,0,113.80213165283203,113.8014907836914,0.04666136,-6.150364,1.0,1.0,0.0,260.0,113.8,6285.559999999998,11380.0,220.0,,472,1000,965.62,8736.1556,96562,1000,
93,93,1,0,28.553181648254395,3573.55100607872,2.500761,160.95236,0,127.59925842285156,127.59442138671875,0.04659757,-6.150364,1.0,1.0,0.0,240.0,127.6,5846.24,12760.0,240.0,,387,1000,974.79,6411.985900000001,97479,1000,
94,94,14,0,30.07161855697632,3613.051035642624,2.4986691,161.32053,0,111.0093765258789,111.01771545410156,0.046520963,-6.150364,1.0,1.0,0.0,240.0,111.0,6387.0,11100.0,180.0,,717,1000,989.64,1799.0703999999998,98964,1000,
95,95,3,0,29.296942472457886,3651.850933074951,2.4992104,161.67825,0,114.38203430175781,114.3668441772461,0.04643021,-6.150364,1.0,1.0,0.0,260.0,114.4,6520.64,11440.0,240.0,,745,1000,991.73,1374.5371000000002,99173,1000,
96,96,5,0,28.75288224220276,3690.027638912201,2.4959326,162.02684,0,128.20570373535156,128.21595764160156,0.046299927,-6.150364,1.0,1.0,0.0,240.0,128.2,6448.76,12820.0,220.0,,544,1000,977.51,5905.509899999999,97751,1000,
97,97,11,0,29.759695768356323,3729.4178216457367,2.4998846,162.36647,0,142.39688110351562,142.38858032226562,0.046181224,-6.159428,1.0,1.0,0.0,260.0,142.4,4306.24,14240.0,200.0,,607,1000,982.56,3947.0264,98256,1000,
98,98,26,0,29.732790231704712,3768.7255387306213,2.50134,162.69785,0,135.9998321533203,136.007568359375,0.04609097,-6.159428,1.0,1.0,0.0,260.0,136.0,4800.0,13600.0,160.0,,837,1000,991.65,974.7275000000002,99165,1000,
99,99,21,0,29.034639358520508,3807.4898047447205,2.4990215,163.02011,0,144.19517517089844,144.18739318847656,0.046020135,-6.159428,1.0,1.0,0.0,260.0,144.2,3290.36,14420.0,160.0,,597,1000,979.1,5049.409999999999,97910,1000,
