,n_reused,unp_rank,n_rejected,grad_norm,param_norm,workertimes,generations,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
275,0,5,0,42.585796,325.1562,28.980857849121094,275,9208.729034900665,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,185.6,3128.64,18560.0,240.0,,647,1000,990.64,2116.2704000000003,99064,1000,
276,0,23,0,42.555283,325.6937,29.542491674423218,276,9243.343596935272,0.0,0.0,0.05,-5.9914646,0.05,20.0,280.0,192.0,2256.0,19200.0,220.0,,890,1000,996.93,217.92510000000001,99693,1000,
277,0,9,0,42.586246,326.22787,29.821930408477783,277,9278.345027923584,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,183.4,3368.4399999999996,18340.0,240.0,,679,1000,995.87,1070.2530999999994,99587,1000,
278,0,7,0,42.532646,326.7626,29.768413305282593,278,9313.542411088943,0.0,0.0,0.05,-5.9914646,0.05,80.0,300.0,196.0,1624.0,19600.0,240.0,,974,1000,999.09,20.021900000000002,99909,1000,
279,0,1,0,42.54516,327.29565,29.114566326141357,279,9347.830978393555,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,194.2,1770.36,19420.0,260.0,,697,1000,994.21,1074.5658999999991,99421,1000,
280,0,1,0,42.551018,327.82758,29.74329900741577,280,9382.693653583527,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,193.0,2099.0,19300.0,280.0,,719,1000,996.5,824.97,99650,1000,
281,0,6,0,42.563488,328.356,30.06198000907898,281,9417.774138212204,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,187.6,2062.2400000000007,18760.0,240.0,,849,1000,995.03,580.8091000000001,99503,1000,
282,0,7,0,42.56165,328.88187,29.88736629486084,282,9452.673150539398,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,188.6,2506.0399999999995,18860.0,240.0,,730,1000,992.94,1080.6563999999994,99294,1000,
283,0,2,0,42.564747,329.40613,29.60763168334961,283,9487.303715705872,0.0,0.0,0.05,-5.9914646,0.05,0.0,300.0,187.4,3805.2400000000007,18740.0,260.0,,699,1000,985.5,2675.83,98550,1000,
284,0,52,0,42.544907,329.92798,29.092543363571167,284,9521.400177717209,0.0,0.0,0.05,-5.9914646,0.05,20.0,320.0,198.2,2784.7599999999993,19820.0,200.0,,651,1000,980.87,4245.3931,98087,1000,
285,0,8,0,42.545647,330.44928,29.294663429260254,285,9555.768165111542,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,177.2,4688.160000000001,17720.0,240.0,,647,1000,986.84,3106.654400000001,98684,1000,
286,0,10,0,42.548866,330.96933,29.86624050140381,286,9590.642038583755,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,195.2,3616.9599999999996,19520.0,240.0,,796,1000,993.37,846.0131,99337,1000,
287,0,22,0,42.596237,331.4899,29.37588381767273,287,9625.02722978592,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,177.0,4379.0,17700.0,220.0,,586,1000,988.03,2860.6691000000005,98803,1000,
288,0,9,0,42.56116,332.00607,30.38124418258667,288,9660.425280570984,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,177.8,5375.159999999998,17780.0,240.0,,731,1000,995.32,935.8376000000004,99532,1000,
289,0,28,0,42.538815,332.52057,28.48368740081787,289,9693.944120168686,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,178.2,4424.759999999999,17820.0,220.0,,652,1000,975.13,5633.273099999999,97513,1000,
290,0,7,0,42.521343,333.03326,29.209608554840088,290,9728.176429748535,0.0,0.0,0.05,-5.9914646,0.05,0.0,320.0,184.0,3760.0,18400.0,240.0,,625,1000,979.5,4262.99,97950,1000,
291,0,10,0,42.554638,333.5427,28.63076901435852,291,9761.91379404068,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,191.4,2818.0400000000013,19140.0,240.0,,607,1000,973.88,5395.9256,97388,1000,
292,0,3,0,42.56021,334.04926,28.571813344955444,292,9795.496845722198,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,178.6,3458.0400000000004,17860.0,240.0,,710,1000,977.5,3867.19,97750,1000,
293,0,9,0,42.609634,334.55383,28.83902096748352,293,9829.361592054367,0.0,0.0,0.05,-5.9914646,0.05,20.0,280.0,193.2,2761.76,19320.0,240.0,,651,1000,980.54,4186.268400000002,98054,1000,
294,0,42,0,42.528965,335.05862,29.70801877975464,294,9864.237196683884,0.0,0.0,0.05,-5.9914646,0.05,0.0,280.0,191.8,3368.76,19180.0,200.0,,784,1000,990.96,1319.4583999999993,99096,1000,
295,0,62,0,42.559525,335.56277,29.11815047264099,295,9898.902846097946,0.0,0.0,0.05,-5.9914646,0.05,80.0,280.0,197.4,1573.2400000000007,19740.0,180.0,,609,1000,982.06,4193.9364000000005,98206,1000,
296,0,52,0,42.530025,336.0663,29.683391332626343,296,9934.344807863235,0.0,0.0,0.05,-5.9914646,0.05,20.0,280.0,197.8,2767.160000000001,19780.0,200.0,,773,1000,992.13,1229.7331000000001,99213,1000,
297,0,33,0,42.5461,336.56903,29.456221103668213,297,9968.82797551155,0.0,0.0,0.05,-5.9914646,0.05,0.0,260.0,201.6,2349.44,20160.0,220.0,,679,1000,983.64,3667.3304,98364,1000,
298,0,24,0,42.554905,337.06992,28.86594581604004,298,10002.703907489777,0.0,0.0,0.05,-5.9914646,0.05,20.0,320.0,192.2,2391.16,19220.0,220.0,,643,1000,967.29,7171.905899999999,96729,1000,
299,0,4,0,42.582836,337.5712,27.921759128570557,299,10035.65596318245,0.0,0.0,0.05,-5.9914646,0.05,20.0,280.0,188.0,2584.0,18800.0,260.0,,643,1000,967.92,6001.613599999999,96792,1000,
