,accuracy_avg,accuracy_max,accuracy_min,accuracy_sum,accuracy_unp,accuracy_val,accuracy_var,beta_avg,beta_max,beta_med,beta_min,beta_std,generations,lr_0,lr_1,n_rejected,n_reused,observations_avg,observations_max,observations_min,observations_sum,observations_unp,observations_val,observations_var,return_avg,return_max,return_min,return_sum,return_unp,return_val,return_var,sigma_avg,sigma_max,sigma_med,sigma_min,sigma_std,unp_rank,walltimes,workertimes
658,0.9566199999999999,0.972,0.941,95.66199999999999,0.965,,4.6355600000000075e-05,-5.960067512901538,-2.4398910943599152,-5.993957992163435,-7.7988152276676805,0.35034195451168465,658,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15455284714698792,-0.11740991473197937,-0.19793440401554108,-15.45528507232666,-0.12701305747032166,,0.00030993687687441707,0.05079111930804158,0.2952462434768677,0.04993770271539688,0.020253906026482582,0.009632491575394758,4,5015.706108570099,4.670989513397217
659,0.95591,0.971,0.937,95.59100000000001,0.961,,5.164190000000005e-05,-5.960010757140392,-2.4064897190572316,-5.994050049141947,-7.869614165390404,0.35053432673913554,659,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15225982666015625,-0.11308588087558746,-0.19218139350414276,-15.225982666015625,-0.14266972243785858,,0.0002991783549077809,0.05079256067281081,0.30021846294403076,0.04993540421128273,0.019549470394849777,0.009650097266717412,33,5023.250818490982,4.818296432495117
660,0.9560199999999998,0.97,0.931,95.60199999999998,0.966,,4.089960000000002e-05,-5.959996235564244,-2.4479387005860893,-5.994090036313228,-7.950557249467102,0.350622964638138,660,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15186384320259094,-0.12207022309303284,-0.20349225401878357,-15.186384201049805,-0.1183265820145607,,0.00022829309455119073,0.050792929468168456,0.294060617685318,0.04993440583348274,0.018774069845676422,0.009635474950653535,1,5030.724805355072,4.76280403137207
661,0.9573599999999998,0.971,0.937,95.73599999999998,0.96,,4.005040000000001e-05,-5.959962917999297,-2.4347322211463753,-5.993986190690466,-7.881497860206674,0.3509565136865765,661,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1500161588191986,-0.11324335634708405,-0.1780608743429184,-15.001616477966309,-0.1499808430671692,,0.0002264032664243132,0.0507937756235796,0.29600879549980164,0.04993699863553047,0.019433654844760895,0.009656647746513316,52,5038.096871137619,4.67691445350647
662,0.9567999999999999,0.972,0.934,95.67999999999999,0.963,,4.4840000000000025e-05,-5.959902206619806,-2.3877892133387557,-5.99385698800378,-7.9159871088498095,0.3510382452981042,662,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1521518975496292,-0.11452505737543106,-0.20305611193180084,-15.215189933776855,-0.1343257576227188,,0.00028386941994540393,0.05079531752707606,0.30303874611854553,0.04994022473692894,0.019101401790976524,0.009668868035455616,11,5045.2945947647095,4.509869813919067
663,0.9578899999999999,0.971,0.939,95.78899999999999,0.957,,4.243790000000008e-05,-5.959911304540672,-2.4248795683940823,-5.993907862430369,-7.911108027167312,0.3513596039223008,663,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.14926248788833618,-0.12075081467628479,-0.19830936193466187,-14.926249504089355,-0.13837851583957672,,0.0002600093721412122,0.05079508646171201,0.2974706292152405,0.049938954412937164,0.01914805732667446,0.009645127114061939,25,5052.680019617081,4.715795040130615
664,0.95658,0.972,0.941,95.658,0.974,,3.190360000000006e-05,-5.959851813901773,-2.4024264102310657,-5.994074817220966,-7.956892543832015,0.3516483481954649,664,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1521802395582199,-0.11857697367668152,-0.1881033480167389,-15.218024253845215,-0.10385890305042267,,0.00020602997392416,0.050796597400256854,0.3008290231227875,0.049934785813093185,0.018714694306254387,0.00965804828345057,1,5059.886748075485,4.5391340255737305
665,0.9577399999999998,0.969,0.945,95.77399999999999,0.962,,3.287240000000006e-05,-5.959795262299991,-2.356084851802404,-5.994330871483332,-7.96752491844305,0.3520730059983099,665,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.14997480809688568,-0.12182478606700897,-0.19148744642734528,-14.997481346130371,-0.12254707515239716,,0.0002133568050339818,0.05079803373503753,0.30788084864616394,0.049928393214941025,0.018615467473864555,0.009666874461691875,4,5067.246114730835,4.714743614196777
666,0.95577,0.968,0.943,95.577,0.956,,3.401710000000005e-05,-5.959707543894993,-2.2710123367247075,-5.99385400420662,-8.046376268463348,0.35205286401668934,666,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1541408896446228,-0.11746542900800705,-0.1910429447889328,-15.414088249206543,-0.13885197043418884,,0.000307405018247664,0.050800261745144695,0.321259468793869,0.04994029924273491,0.01789581961929798,0.009692087170913254,16,5074.708448171616,4.817075252532959
667,0.95593,0.97,0.936,95.59299999999999,0.962,,2.8365100000000004e-05,-5.959697689340555,-2.140436727423734,-5.994096303031938,-7.935267875598905,0.3523156451506236,667,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1520317941904068,-0.11537844687700272,-0.1852719634771347,-15.203179359436035,-0.13228432834148407,,0.00016373443941120058,0.05080051205273379,0.34293362498283386,0.04993424937129021,0.018918141722679138,0.009710790378928191,6,5082.034861564636,4.686991453170776
