,n_rejected,generations,param_norm,grad_norm,walltimes,unp_rank,n_reused,workertimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
74,0,74,186.61101,36.18432,2524.1765332221985,33,0,29.10989785194397,0.0,0.0,0.05872524,-5.402342,0.05,0.05,0.0,260.0,141.0,3907.0,14100.0,160.0,,653,1000,977.62,3820.8956,97762,1000,
75,0,75,188.01305,35.96106,2557.5490005016327,27,0,28.15736484527588,0.0,0.0,0.05917312,-5.402342,0.05,0.05,0.0,240.0,141.6,3253.44,14160.0,160.0,,463,1000,970.54,7147.9684,97054,1000,
76,0,76,189.35934,35.39309,2591.5733025074005,39,0,28.767303943634033,0.0,0.0,0.06014817,-5.402342,0.05,0.05,0.0,240.0,154.8,2308.960000000001,15480.0,160.0,,724,1000,981.43,2842.6451000000006,98143,1000,
77,0,77,190.65134,34.65612,2625.868586063385,14,0,29.09310746192932,0.0,0.0,0.06145542,-5.402342,0.05,0.05,0.0,240.0,140.0,3320.0,14000.0,180.0,,695,1000,971.18,4672.507600000001,97118,1000,
78,0,78,191.88991,34.094532,2660.232622385025,55,0,29.163670778274536,0.0,0.0,0.06241076,-5.402342,0.05,0.05,0.0,320.0,136.6,3608.44,13660.0,140.0,,566,1000,968.18,6791.4676,96818,1000,
79,0,79,193.07726,33.572857,2694.1988468170166,1,0,28.733875036239624,0.0,0.0,0.06337464,-5.402342,0.05,0.05,0.0,240.0,139.2,3007.36,13920.0,240.0,,500,1000,968.31,7724.133899999998,96831,1000,
80,0,80,194.21529,33.056957,2727.9365162849426,14,0,28.400903463363647,0.0,0.0,0.06440331,-5.402342,0.05,0.05,0.0,260.0,148.4,2825.44,14840.0,200.0,,485,1000,968.99,7729.349899999997,96899,1000,
81,0,81,195.3072,32.530334,2761.96551656723,5,0,28.772539615631104,0.0,0.0,0.06540863,-5.402342,0.05,0.05,0.0,240.0,131.0,3699.0,13100.0,200.0,,414,1000,955.34,9903.8844,95534,1000,
82,0,82,196.3554,32.0054,2795.7839620113373,18,0,28.62507915496826,0.0,0.0,0.06659632,-5.402342,0.05,0.05,0.0,260.0,142.6,3045.2400000000007,14260.0,180.0,,580,1000,966.56,5747.466400000001,96656,1000,
83,0,83,197.36034,31.28268,2829.601127386093,12,0,28.41668152809143,0.0,0.0,0.06800915,-5.402342,0.05,0.05,0.0,240.0,132.8,3052.160000000001,13280.0,180.0,,551,1000,965.69,6537.293900000001,96569,1000,
84,0,84,198.32414,30.648344,2862.967166662216,13,0,28.116311073303223,0.0,0.0,0.06942692,-5.402342,0.05,0.05,0.0,260.0,131.4,3474.0400000000013,13140.0,180.0,,649,1000,963.68,6701.617599999999,96368,1000,
85,0,85,199.24678,30.33541,2896.8416290283203,23,0,28.64284873008728,0.0,0.0,0.07011122,-5.402342,0.05,0.05,0.0,240.0,136.0,3240.0,13600.0,160.0,,689,1000,970.46,4870.528400000001,97046,1000,
86,0,86,200.12915,30.192513,2931.1248626708984,24,0,28.97781801223755,0.0,0.0,0.07049192,-5.402342,0.05,0.05,0.0,240.0,141.6,3077.44,14160.0,160.0,,624,1000,968.54,6075.728400000001,96854,1000,
87,0,87,200.97466,30.32257,2965.644318819046,28,0,29.23246669769287,0.0,0.0,0.07021496,-5.402342,0.05,0.05,0.0,260.0,146.6,2464.44,14660.0,160.0,,639,1000,974.61,5532.9178999999995,97461,1000,
88,0,88,201.78436,30.265593,2999.612425804138,23,0,28.634610176086426,0.0,0.0,0.07031077,-5.402342,0.05,0.05,0.0,280.0,141.4,3090.0400000000004,14140.0,160.0,,545,1000,972.99,8308.269900000003,97299,1000,
89,0,89,202.56181,30.687653,3034.389691591263,19,0,29.56109118461609,0.0,0.0,0.06934013,-5.402342,0.05,0.05,0.0,260.0,158.4,2517.44,15840.0,180.0,,710,1000,984.47,2534.2090999999996,98447,1000,
90,0,90,203.30945,31.416433,3068.1789326667786,45,0,28.58008122444153,0.0,0.0,0.067815356,-5.402342,0.05,0.05,0.0,240.0,157.2,2888.1600000000008,15720.0,160.0,,709,1000,979.24,3413.782399999999,97924,1000,
91,0,91,204.03185,31.689787,3103.0527169704437,22,0,29.368597269058228,0.0,0.0,0.06712686,-5.8468757,0.05,0.05,0.0,240.0,160.2,2147.9600000000005,16020.0,180.0,,749,1000,983.58,2422.6436,98358,1000,
92,0,92,204.73088,32.36354,3137.787209749222,46,0,29.516368865966797,0.0,0.0,0.06570591,-5.8468757,0.05,0.05,0.0,260.0,166.0,2396.0,16600.0,160.0,,700,1000,980.63,3622.2930999999994,98063,1000,
93,0,93,205.40813,33.07262,3172.013414621353,41,0,29.031126976013184,0.0,0.0,0.064293556,-5.8468757,0.05,0.05,60.0,260.0,165.6,1888.6399999999994,16560.0,160.0,,742,1000,986.66,2099.5244,98666,1000,
94,0,94,206.07013,34.264904,3206.618665456772,18,0,29.309313774108887,0.0,0.0,0.06212692,-5.8468757,0.05,0.05,40.0,260.0,161.8,1464.7599999999998,16180.0,180.0,,735,1000,982.4,2771.1,98240,1000,
95,0,95,206.71895,35.286533,3241.9579598903656,42,0,30.136921405792236,0.0,0.0,0.06033212,-5.8468757,0.05,0.05,0.0,240.0,159.4,1963.6399999999996,15940.0,160.0,,847,1000,995.18,512.0476,99518,1000,
96,0,96,207.35735,36.570496,3276.6040403842926,22,0,29.27921724319458,0.0,0.0,0.05819661,-5.8468757,0.05,0.05,80.0,260.0,166.6,1424.44,16660.0,180.0,,630,1000,984.55,3696.3075,98455,1000,
97,0,97,207.99144,37.76601,3311.405514240265,18,0,29.5358464717865,0.0,0.0,0.056383397,-5.8468757,0.05,0.05,40.0,240.0,160.6,1123.64,16060.0,180.0,,495,1000,981.62,4449.535599999999,98162,1000,
98,0,98,208.62283,38.485355,3345.977697610855,10,0,29.36709189414978,0.0,0.0,0.05524966,-5.8468757,0.05,0.05,80.0,260.0,163.8,1205.56,16380.0,200.0,,807,1000,993.78,739.7515999999997,99378,1000,
99,0,99,209.25679,39.02765,3380.4546780586243,32,0,29.263890266418457,0.0,0.0,0.054507077,-5.8468757,0.05,0.05,100.0,260.0,167.8,1655.16,16780.0,180.0,,691,1000,985.12,2634.1256,98512,1000,
