,param_norm,unp_rank,grad_norm,n_reused,workertimes,walltimes,n_rejected,generations,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
27,100.04889,10,49.909,0,28.99751043319702,1882.9021708965302,0,27,157.60430908203125,315.33795166015625,0.050010238,-5.991055011749268,0.04980122,-5.999431610107422,0.05026772,-5.9807844161987305,0.049999617,-5.991479873657227,4.0433923e-05,0.0016632512,0.05,0.05,20.0,220.0,157.6,554.24,15760.0,160.0,,718,1000,978.44,1372.1064,97844,992,
28,102.768326,3,49.872864,0,28.945719242095947,1951.457439661026,0,28,152.1995391845703,304.4822692871094,0.050009888,-5.991069316864014,0.049795523,-5.999660491943359,0.05027468,-5.9805073738098145,0.04999964,-5.99147891998291,4.1582636e-05,0.0017086563,0.05,0.05,0.0,180.0,152.2,639.1600000000001,15220.0,160.0,,644,1000,965.54,4537.1684,96554,969,
29,105.44717,6,49.872177,0,29.00991463661194,2019.2380456924438,0,29,150.79847717285156,301.6181640625,0.050009564,-5.991082191467285,0.049788326,-5.9999494552612305,0.050280854,-5.98026180267334,0.049999677,-5.9914774894714355,4.2717715e-05,0.0017535761,0.05,0.05,0.0,220.0,150.8,1011.3599999999999,15080.0,160.0,,725,1000,974.95,2617.1475,97495,981,
30,108.084885,6,49.8948,0,28.88199019432068,2087.1312227249146,0,30,146.00180053710938,292.087646484375,0.050009225,-5.991095542907715,0.04978289,-6.0001678466796875,0.050286274,-5.980046272277832,0.049999703,-5.991476535797119,4.384066e-05,0.0017979548,0.05,0.05,0.0,180.0,146.0,1628.0,14600.0,160.0,,632,1000,976.93,2386.2651000000005,97693,998,
31,110.67835,10,49.882175,0,27.566468715667725,2153.5552365779877,0,31,146.5983123779297,293.17816162109375,0.050008927,-5.99110746383667,0.04977756,-6.000381946563721,0.050292496,-5.979798793792725,0.049999736,-5.9914751052856445,4.495008e-05,0.0018417913,0.05,0.05,0.0,220.0,146.6,1704.4399999999996,14660.0,160.0,,508,1000,963.9,6939.489999999999,96390,995,
32,113.22914,10,49.8948,0,28.406930446624756,2221.0202243328094,0,32,152.00115966796875,304.1178283691406,0.050008643,-5.991118907928467,0.049769904,-6.000689506530762,0.050296143,-5.979653835296631,0.04999977,-5.99147367477417,4.6045938e-05,0.0018851511,0.05,0.05,0.0,240.0,152.0,1216.0,15200.0,160.0,,582,1000,969.15,4700.6275,96915,988,
33,115.73993,11,49.854046,0,28.204782962799072,2288.2056975364685,0,33,141.00038146972656,282.0452575683594,0.05000834,-5.991130828857422,0.049762752,-6.000977039337158,0.050300483,-5.979481220245361,0.049999785,-5.991473197937012,4.7129884e-05,0.0019279339,0.05,0.05,0.0,200.0,141.0,1739.0,14100.0,160.0,,643,1000,962.05,5743.867500000001,96205,994,
34,118.209984,9,49.87826,0,28.979077339172363,2356.981074810028,0,34,144.39645385742188,288.80572509765625,0.050008062,-5.991142272949219,0.04975554,-6.001266956329346,0.05030347,-5.979362487792969,0.049999822,-5.991471767425537,4.8199396e-05,0.001970177,0.05,0.05,0.0,200.0,144.4,1412.6399999999994,14440.0,160.0,,480,1000,955.5,7381.39,95550,986,
35,120.63921,72,49.891018,0,28.142408847808838,2424.3788142204285,0,35,133.7980499267578,267.68389892578125,0.050007764,-5.991154193878174,0.04974764,-6.001584529876709,0.05030612,-5.979257106781006,0.049999855,-5.9914703369140625,4.9255414e-05,0.002011881,0.05,0.05,0.0,220.0,133.8,2773.56,13380.0,120.0,,483,1000,940.65,11737.5875,94065,875,
36,123.03313,13,49.899326,0,27.53214454650879,2490.379334449768,0,36,141.20054626464844,282.5017395019531,0.050007503,-5.991164207458496,0.049741555,-6.001829147338867,0.050307535,-5.979200839996338,0.049999867,-5.991469860076904,5.0297956e-05,0.0020530045,0.05,0.05,0.0,220.0,141.2,1846.56,14120.0,160.0,,549,1000,945.17,8228.281099999998,94517,970,
