,unp_rank,grad_norm,workertimes,n_reused,n_rejected,param_norm,walltimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
45,6,0.2459974,3.10831356048584,0,0,13.8970785,156.73115730285645,45,0.0,0.0,0.05,-5.9914646,0.05,-2.806671142578125,-2.251152515411377,-2.4651918411254883,0.010490813292562962,-246.51919555664062,-2.2932236,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
46,2,0.2451117,3.3185887336730957,0,0,13.89081,160.22354912757874,46,0.0,0.0,0.05,-5.9914646,0.05,-2.7036943435668945,-2.223167896270752,-2.4727587699890137,0.008630314841866493,-247.27587890625,-2.2462194,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
47,3,0.24242285,3.2337512969970703,0,0,13.884487,163.6313931941986,47,0.0,0.0,0.05,-5.9914646,0.05,-2.7037391662597656,-2.229713201522827,-2.450678586959839,0.009143300354480743,-245.06785583496094,-2.2403533,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
48,2,0.24167682,3.2201550006866455,0,0,13.878103,167.02546072006226,48,0.0,0.0,0.05,-5.9914646,0.05,-2.7386984825134277,-2.2199203968048096,-2.4665064811706543,0.00914560817182064,-246.65065002441406,-2.2823982,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
49,3,0.24252388,3.2244131565093994,0,0,13.871717,170.4240620136261,49,0.0,0.0,0.05,-5.9914646,0.05,-2.7793447971343994,-2.2145814895629883,-2.4586598873138428,0.009033847600221634,-245.86598205566406,-2.2562695,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
50,3,0.2435466,5.748354196548462,0,0,13.865244,176.34893655776978,50,0.0,0.0,0.05,-5.9914646,0.05,-2.6789722442626953,-2.1542623043060303,-2.449228048324585,0.009292674250900745,-244.9228057861328,-2.2306147,-2.2247689,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
51,2,0.24166572,3.4094691276550293,0,0,13.858662,179.9331624507904,51,0.0,0.0,0.05,-5.9914646,0.05,-2.6661365032196045,-2.2282793521881104,-2.4417219161987305,0.00804799422621727,-244.1721954345703,-2.2287323,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
52,2,0.245296,3.327767848968506,0,0,13.852025,183.43460512161255,52,0.0,0.0,0.05,-5.9914646,0.05,-2.6648964881896973,-2.216092109680176,-2.422389507293701,0.008648507297039032,-242.23895263671875,-2.2251022,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
53,2,0.24197368,3.5260655879974365,0,0,13.845403,187.13496088981628,53,0.0,0.0,0.05,-5.9914646,0.05,-2.639646530151367,-2.155937910079956,-2.420212984085083,0.007928340695798397,-242.02130126953125,-2.202346,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
54,3,0.24310134,3.409358501434326,0,0,13.838865,190.67782831192017,54,0.0,0.0,0.05,-5.9914646,0.05,-2.629310131072998,-2.1980695724487305,-2.412155866622925,0.0070619662292301655,-241.21559143066406,-2.2188025,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
55,5,0.24374299,3.323740005493164,0,0,13.832427,194.17592430114746,55,0.0,0.0,0.05,-5.9914646,0.05,-2.604325532913208,-2.086179733276367,-2.388369083404541,0.01094665564596653,-238.8369140625,-2.2159047,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
56,2,0.24440505,3.2341933250427246,0,0,13.826149,197.58421087265015,56,0.0,0.0,0.05,-5.9914646,0.05,-2.6426117420196533,-2.115705728530884,-2.420536994934082,0.009101826697587967,-242.0537109375,-2.1480508,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
57,2,0.24078803,3.3709423542022705,0,0,13.819844,201.12927389144897,57,0.0,0.0,0.05,-5.9914646,0.05,-2.6636223793029785,-2.174285411834717,-2.402263879776001,0.00973871722817421,-240.22637939453125,-2.196472,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
58,1,0.2433382,3.5460073947906494,0,0,13.813509,204.81108593940735,58,0.0,0.0,0.05,-5.9914646,0.05,-2.5678601264953613,-2.2069320678710938,-2.389655828475952,0.007984593510627747,-238.96559143066406,-2.129549,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
59,1,0.24191663,3.40071177482605,0,0,13.807246,208.38740921020508,59,0.0,0.0,0.05,-5.9914646,0.05,-2.6392390727996826,-2.2040815353393555,-2.394967794418335,0.008108910173177719,-239.4967803955078,-2.165655,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
60,1,0.24325988,3.3933868408203125,0,0,13.801012,211.9553370475769,60,0.0,0.0,0.05,-5.9914646,0.05,-2.565365791320801,-2.198246717453003,-2.3740286827087402,0.007574220187962055,-237.4028778076172,-2.161378,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
61,1,0.24359165,3.4069132804870605,0,0,13.794658,215.53717017173767,61,0.0,0.0,0.05,-5.9914646,0.05,-2.6205811500549316,-2.171113967895508,-2.393292188644409,0.008143886923789978,-239.32920837402344,-2.117931,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
62,1,0.24389742,3.4666192531585693,0,0,13.788205,219.17755103111267,62,0.0,0.0,0.05,-5.9914646,0.05,-2.6063246726989746,-2.1850202083587646,-2.372642755508423,0.007565315347164869,-237.2642822265625,-2.1098847,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
63,1,0.2426051,2.911288022994995,0,0,13.781781,222.229079246521,63,0.0,0.0,0.05,-5.9914646,0.05,-2.5838782787323,-2.138314723968506,-2.3609282970428467,0.007251984905451536,-236.09283447265625,-2.103544,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
64,1,0.24173695,3.2000558376312256,0,0,13.775272,225.59967398643494,64,0.0,0.0,0.05,-5.9914646,0.05,-2.552762746810913,-2.1829538345336914,-2.3486852645874023,0.005822060629725456,-234.86851501464844,-2.0786784,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
65,1,0.24244739,3.032268762588501,0,0,13.768868,228.80043983459473,65,0.0,0.0,0.05,-5.9914646,0.05,-2.59368896484375,-2.186302900314331,-2.3658854961395264,0.008224629797041416,-236.5885467529297,-2.0638523,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
66,1,0.24378198,3.0221009254455566,0,0,13.762427,231.99309992790222,66,0.0,0.0,0.05,-5.9914646,0.05,-2.5538442134857178,-2.1389124393463135,-2.344050645828247,0.009031570516526699,-234.4050750732422,-2.1146097,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
67,1,0.24279445,3.656869888305664,0,0,13.75587,235.82051634788513,67,0.0,0.0,0.05,-5.9914646,0.05,-2.609484910964966,-2.139606475830078,-2.342078685760498,0.008103698492050171,-234.20787048339844,-2.046797,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
