,grad_norm,n_rejected,unp_rank,param_norm,workertimes,generations,n_reused,walltimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
34,2.1284604,0,11,93.91259,28.56414556503296,34,0,1197.6413497924805,0.0,0.0,0.050026607,-5.990400314331055,0.049993597,-5.991720676422119,0.050013673,-5.990917682647705,0.04999989,-5.991468906402588,1.5456847e-06,6.2226245e-05,1.0,1.0,0.0,240.0,132.4,3150.24,13240.0,160.0,,646,1000,959.68,6358.697599999999,95968,982,
35,2.1302717,0,6,95.40509,27.77036738395691,35,0,1231.7371988296509,0.0,0.0,0.050026607,-5.990400314331055,0.049993575,-5.9917216300964355,0.0500137,-5.990916728973389,0.04999989,-5.991468906402588,1.5556474e-06,6.2609506e-05,1.0,1.0,0.0,220.0,128.0,3296.0,12800.0,160.0,,520,1000,954.52,8759.829600000001,95452,979,
36,2.130506,0,10,96.85529,27.488475799560547,36,0,1265.8885850906372,0.0,0.0,0.050026607,-5.990400314331055,0.04999355,-5.991722583770752,0.05001371,-5.9909162521362305,0.04999989,-5.991468906402588,1.5652305e-06,6.297945e-05,1.0,1.0,0.0,220.0,140.8,1991.36,14080.0,160.0,,526,1000,955.76,6767.462400000002,95576,990,
37,2.1297987,0,7,98.26439,28.579787731170654,37,0,1300.6674830913544,0.0,0.0,0.050026607,-5.990400314331055,0.049993467,-5.991725921630859,0.05001372,-5.990915775299072,0.04999989,-5.991468906402588,1.5744808e-06,6.3337044e-05,1.0,1.0,0.0,220.0,137.6,2450.2400000000007,13760.0,160.0,,647,1000,965.53,4983.849099999999,96553,988,
38,2.1309474,0,13,99.63316,29.333932638168335,38,0,1336.1872074604034,0.0,0.0,0.05002661,-5.990400314331055,0.049993392,-5.991728782653809,0.050013743,-5.990914821624756,0.04999989,-5.991468906402588,1.5834194e-06,6.368356e-05,1.0,1.0,0.0,260.0,143.8,2485.56,14380.0,160.0,,739,1000,975.69,2289.6139000000007,97569,974,
39,2.130357,0,9,100.96011,28.90043354034424,39,0,1371.0669922828674,0.0,0.0,0.05002661,-5.990400314331055,0.049993325,-5.991731643676758,0.05001377,-5.9909138679504395,0.04999989,-5.991468906402588,1.5920821e-06,6.4020925e-05,1.0,1.0,0.0,240.0,148.4,1609.44,14840.0,160.0,,402,1000,961.3,7001.029999999999,96130,985,
40,2.1283238,0,10,102.249725,28.11125111579895,40,0,1405.2587025165558,0.0,0.0,0.050026618,-5.990400314331055,0.049993277,-5.991733551025391,0.05001377,-5.9909138679504395,0.04999989,-5.991468906402588,1.6005151e-06,6.434849e-05,1.0,1.0,0.0,200.0,139.4,2211.64,13940.0,160.0,,455,1000,945.57,11458.3651,94557,983,
41,2.1300547,0,4,103.49979,27.8749520778656,41,0,1439.126840353012,0.0,0.0,0.050026618,-5.990400314331055,0.049993217,-5.991735935211182,0.05001377,-5.9909138679504395,0.04999989,-5.991468906402588,1.6087073e-06,6.466798e-05,1.0,1.0,0.0,220.0,144.0,1864.0,14400.0,160.0,,480,1000,963.03,6829.529100000001,96303,977,
42,2.1306221,0,11,104.714874,27.774433135986328,42,0,1473.0118839740753,0.0,0.0,0.050026618,-5.990400314331055,0.049993157,-5.991738319396973,0.05001376,-5.990914344787598,0.04999989,-5.991468906402588,1.6166939e-06,6.497952e-05,1.0,1.0,0.0,200.0,131.4,3210.0400000000013,13140.0,160.0,,566,1000,959.3,7099.230000000001,95930,984,
43,2.1300073,0,10,105.89733,28.330739974975586,43,0,1507.556615114212,0.0,0.0,0.050026618,-5.990400314331055,0.049993094,-5.991740703582764,0.050013732,-5.990915298461914,0.049999904,-5.99146842956543,1.6244826e-06,6.5284185e-05,1.0,1.0,0.0,220.0,144.6,1710.84,14460.0,160.0,,645,1000,964.08,4143.893599999999,96408,979,
44,2.1296608,0,7,107.04337,27.860687017440796,44,0,1541.4236447811127,0.0,0.0,0.050026618,-5.990400314331055,0.04999306,-5.991742134094238,0.05001371,-5.9909162521362305,0.049999904,-5.99146842956543,1.6320996e-06,6.558308e-05,1.0,1.0,0.0,200.0,143.0,1971.0,14300.0,160.0,,480,1000,963.04,7656.9584,96304,978,
45,2.1283371,0,8,108.15396,28.20828890800476,45,0,1575.5496187210083,0.0,0.0,0.050026618,-5.990400314331055,0.04999306,-5.991742134094238,0.05001365,-5.9909186363220215,0.049999904,-5.99146842956543,1.6395719e-06,6.587622e-05,1.0,1.0,0.0,220.0,142.6,1973.2400000000007,14260.0,160.0,,445,1000,962.06,6391.5364,96206,995,
46,2.128953,0,12,109.23244,28.233046054840088,46,0,1609.724998474121,0.0,0.0,0.05002662,-5.9903998374938965,0.049993027,-5.991743564605713,0.050013613,-5.990920066833496,0.049999904,-5.99146842956543,1.6469014e-06,6.6163695e-05,1.0,1.0,0.0,220.0,147.0,1427.0,14700.0,160.0,,536,1000,955.0,7251.56,95500,977,
47,2.1300287,0,7,110.27782,27.93954372406006,47,0,1643.5572383403778,0.0,0.0,0.05002662,-5.9903998374938965,0.04999299,-5.9917449951171875,0.05001358,-5.990921497344971,0.049999904,-5.99146842956543,1.6540893e-06,6.644585e-05,1.0,1.0,0.0,180.0,140.4,1799.84,14040.0,160.0,,646,1000,960.11,5694.977899999999,96011,969,
48,2.1300733,0,8,111.29454,27.959214210510254,48,0,1677.3821034431458,0.0,0.0,0.05002662,-5.9903998374938965,0.04999294,-5.99174690246582,0.05001352,-5.990923881530762,0.049999904,-5.99146842956543,1.6611426e-06,6.672339e-05,1.0,1.0,0.0,220.0,140.2,2275.9600000000005,14020.0,160.0,,449,1000,969.37,5062.693099999999,96937,976,
49,2.1312013,0,13,112.28587,28.14299964904785,49,0,1711.480620622635,0.0,0.0,0.05002662,-5.9903998374938965,0.049992893,-5.991748809814453,0.05001346,-5.990926265716553,0.049999904,-5.99146842956543,1.6680823e-06,6.6997796e-05,1.0,1.0,0.0,220.0,144.2,1762.3600000000006,14420.0,160.0,,509,1000,950.03,9255.2491,95003,982,
50,2.129068,0,13,113.24923,28.394166707992554,50,0,1745.767020702362,0.0,0.0,0.05002662,-5.9903998374938965,0.049992822,-5.991751670837402,0.05001341,-5.9909281730651855,0.049999904,-5.99146842956543,1.6749415e-06,6.726884e-05,1.0,1.0,0.0,220.0,143.2,1925.7599999999998,14320.0,160.0,,421,1000,956.01,9338.529900000001,95601,994,
51,2.1309304,0,13,114.184654,28.442686319351196,51,0,1780.1233489513397,0.0,0.0,0.050026625,-5.9903998374938965,0.049992774,-5.991753578186035,0.05001339,-5.990929126739502,0.049999904,-5.99146842956543,1.6817188e-06,6.7536384e-05,1.0,1.0,0.0,220.0,143.8,2101.56,14380.0,160.0,,658,1000,969.86,4410.5204,96986,996,
52,2.1289868,0,5,115.09666,28.55463433265686,52,0,1814.625607252121,0.0,0.0,0.050026625,-5.9903998374938965,0.049992718,-5.991755962371826,0.050013363,-5.990930080413818,0.049999904,-5.99146842956543,1.6884071e-06,6.780051e-05,1.0,1.0,0.0,200.0,145.8,1178.36,14580.0,160.0,,546,1000,957.37,7170.393099999999,95737,984,
53,2.1316795,0,11,115.980965,27.858465909957886,53,0,1848.3681180477142,0.0,0.0,0.050026625,-5.9903998374938965,0.049992643,-5.991758823394775,0.050013337,-5.990931034088135,0.049999904,-5.99146842956543,1.6950097e-06,6.80618e-05,1.0,1.0,0.0,220.0,151.8,1240.7600000000002,15180.0,160.0,,649,1000,965.93,5280.4251,96593,991,
