,param_norm,walltimes,n_reused,unp_rank,n_rejected,grad_norm,workertimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
46,436.99057,1738.1968829631805,0,34,0,482.88742,30.162673711776733,46,119.60430908203125,119.60992431640625,0.0051078093,-10.780243,0.05,0.05,100.0,180.0,119.6,583.8399999999999,11960.0,120.0,,835,1000,981.99,1473.9898999999998,98199,953,
47,459.82794,1770.9657969474792,0,38,0,442.92712,23.464423894882202,47,107.20038604736328,107.2005844116211,0.0049750637,-10.780243,0.05,0.05,80.0,160.0,107.2,220.16000000000008,10720.0,100.0,,644,1000,742.05,3705.3875,74205,727,
48,483.86105,1808.6035373210907,0,55,0,512.0196,28.920714616775513,48,171.2027130126953,171.20323181152344,0.0048751235,-10.780243,0.05,0.05,100.0,240.0,171.2,1258.56,17120.0,160.0,,710,1000,958.4,5682.780000000002,95840,919,
49,509.1745,1842.5263891220093,0,17,0,523.83203,24.697946310043335,49,168.5973663330078,168.59027099609375,0.004760802,-10.780243,0.05,0.05,0.0,260.0,168.6,3434.0400000000013,16860.0,220.0,,503,1000,859.36,20854.8904,85936,936,
50,541.4908,1882.4189491271973,0,1,0,1664.2274,30.563418865203857,50,0.0,0.0,0.004659039,-10.780243,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,1000,1000,1000.0,0.0,100000,1000,
51,583.00146,1913.8060064315796,0,48,0,534.45526,21.54654884338379,51,92.39928436279297,92.39852905273438,0.0045614196,-11.349411,0.05,0.05,80.0,140.0,92.4,222.23999999999992,9240.0,80.0,,636,1000,742.03,13169.709100000002,74203,663,
52,629.5934,1944.5113666057587,0,54,0,559.4319,22.00978994369507,52,90.99928283691406,90.99845123291016,0.0044564977,-11.349411,0.05,0.05,80.0,120.0,91.0,115.0,9100.0,80.0,,640,1000,713.18,4400.8276000000005,71318,648,
53,678.397,1978.1784613132477,0,33,0,494.88327,25.071223735809326,53,122.00025177001953,121.998291015625,0.004316705,-11.349411,0.05,0.05,80.0,160.0,122.0,316.0,12200.0,120.0,,640,1000,835.33,4384.561100000001,83533,841,
54,727.76086,2014.4247081279755,0,1,0,597.8628,27.24863076210022,54,143.00167846679688,143.00393676757812,0.0041705524,-11.349411,0.05,0.05,120.0,160.0,143.0,331.0,14300.0,160.0,,835,1000,916.36,4597.5704000000005,91636,983,
55,776.85236,2048.5275464057922,0,5,0,606.82043,24.779091835021973,55,128.80059814453125,128.80072021484375,0.0041073803,-11.349411,0.05,0.05,100.0,160.0,128.8,274.56000000000006,12880.0,140.0,,764,988,828.26,1334.1723999999997,82826,820,
