,grad_norm,n_reused,unp_rank,walltimes,generations,n_rejected,param_norm,workertimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
46,2.4983528,0,12,3181.0450570583344,46,0,126.52855,28.04159665107727,149.20428466796875,298.29962158203125,0.050026897,-5.990388870239258,0.04998342,-5.992127895355225,0.05001645,-5.990806579589844,0.05,-5.991464614868164,3.0170986e-06,0.00012247691,1.0,1.0,0.0,220.0,149.2,1331.3600000000006,14920.0,160.0,,481,1000,958.68,7318.917599999999,95868,981,
47,2.495623,0,10,3249.8196794986725,47,0,127.81197,29.004785299301147,137.20716857910156,274.50341796875,0.05002691,-5.9903883934021,0.04998317,-5.992137908935547,0.050016776,-5.990793704986572,0.05,-5.991464614868164,3.0619224e-06,0.00012424718,1.0,1.0,0.0,200.0,137.2,2344.16,13720.0,160.0,,715,1000,961.06,4337.3764,96106,998,
48,2.4982176,0,10,3318.620929956436,48,0,129.05971,28.478506326675415,144.80001831054688,289.63604736328125,0.050026916,-5.9903883934021,0.049982857,-5.99215030670166,0.050017085,-5.990781307220459,0.05,-5.991464614868164,3.1061782e-06,0.00012599508,1.0,1.0,0.0,220.0,144.8,1840.9600000000005,14480.0,160.0,,529,1000,966.34,6984.2044000000005,96634,978,
49,2.5005317,0,12,3387.662177801132,49,0,130.27086,28.673471927642822,150.99899291992188,302.01922607421875,0.05002693,-5.990387439727783,0.049982537,-5.992163181304932,0.05001737,-5.990769863128662,0.05,-5.991464614868164,3.1498766e-06,0.0001277242,1.0,1.0,0.0,220.0,151.0,1355.0,15100.0,160.0,,641,1000,978.22,2514.9916,97822,982,
50,2.4960413,0,13,3456.5136551856995,50,0,131.44765,29.075198888778687,148.80162048339844,297.6858215332031,0.050026946,-5.990386962890625,0.049982216,-5.992176055908203,0.050017703,-5.990756511688232,0.05,-5.991464614868164,3.1931056e-06,0.00012943285,1.0,1.0,0.0,260.0,148.8,1762.56,14880.0,160.0,,593,1000,975.25,3363.2275,97525,1000,
51,2.4982274,0,12,3523.726413965225,51,0,132.58797,27.393463373184204,139.99313354492188,280.0248107910156,0.050026953,-5.990386486053467,0.049982,-5.992184638977051,0.05001794,-5.990746974945068,0.050000012,-5.991464138031006,3.2358182e-06,0.00013112166,1.0,1.0,0.0,220.0,140.0,2192.0,14000.0,160.0,,474,1000,940.9,14552.370000000003,94090,994,
52,2.497887,0,75,3591.6331825256348,52,0,133.69467,27.68125081062317,140.4073944091797,280.8017272949219,0.050026957,-5.990386486053467,0.04998182,-5.992191791534424,0.05001811,-5.9907402992248535,0.050000012,-5.991464138031006,3.2780397e-06,0.00013279115,1.0,1.0,0.0,220.0,140.4,2207.84,14040.0,120.0,,473,1000,952.83,9034.3411,95283,868,
53,2.4957821,0,13,3659.671940088272,53,0,134.77007,28.187904596328735,141.7971954345703,283.58563232421875,0.050026964,-5.990386486053467,0.049981605,-5.9922003746032715,0.05001817,-5.9907379150390625,0.050000012,-5.991464138031006,3.319776e-06,0.00013444161,1.0,1.0,0.0,220.0,141.8,2208.7599999999993,14180.0,160.0,,647,1000,973.92,3973.3536,97392,985,
54,2.496691,0,15,3728.8792765140533,54,0,135.81508,28.508725881576538,135.6010284423828,271.1343688964844,0.050026968,-5.990386009216309,0.049981512,-5.992204189300537,0.05001829,-5.9907331466674805,0.050000012,-5.991464138031006,3.3610386e-06,0.00013607225,1.0,1.0,0.0,220.0,135.6,2660.639999999999,13560.0,160.0,,544,1000,951.88,7678.8256,95188,984,
55,2.4952784,0,9,3796.4737677574158,55,0,136.83131,27.241472005844116,129.59671020507812,259.2501220703125,0.050026976,-5.990386009216309,0.049981415,-5.992208003997803,0.050018325,-5.990731716156006,0.050000012,-5.991464138031006,3.4018035e-06,0.0001376819,1.0,1.0,0.0,260.0,129.6,3187.8399999999992,12960.0,180.0,,618,1000,946.51,9532.869899999998,94651,1000,
